latitude,longitude,score
42.36587524,-71.06187608,1.103311886
42.36587524,-71.06187608,1.103311886
42.32707596,-71.066803,0.674280153
42.35095215,-71.07758291,1.569969121
42.35182953,-71.11952515,1.628281489
42.34999847,-71.076,1.526837307
42.36001587,-71.09171168,1.689973133
42.35165024,-71.07321098,1.417573164
42.35611725,-71.0552516,0.608079234
42.35611725,-71.0552516,0.608079234
42.35118866,-71.06762456,1.54543671
42.32997513,-71.04393922,1.64452253
42.35733414,-71.05787783,1.715567252
42.31644058,-71.04029532,1.833833063
42.36058807,-71.0658243,1.882547646
42.36452103,-71.05403423,1.441350846
42.33702087,-71.08660554,1.569969121
42.3532753,-71.06327279,1.816928297
42.31118774,-71.11440793,1.516057605
42.2851181,-71.08031815,1.816928297
42.34847641,-71.08287909,0.554367049
42.347435,-71.07938123,1.54543671
42.36125183,-71.0686481,0.608079234
42.33927917,-71.09425492,1.526837307
42.34650803,-71.0972024,1.48306308
42.35842896,-71.0597732,1.681152
42.35978699,-71.05049346,1.715567252
42.34650803,-71.0972024,1.739796021
42.3583107,-71.09467,1.605978616
42.35237885,-71.11066,1.569969121
42.34967422,-71.13519754,1.390020795
42.3400383,-71.06879552,0.804441652
42.30646515,-71.1073524,1.731488958
42.35168076,-71.12127179,1.250234188
42.34650803,-71.0972024,1.652012454
42.35000992,-71.06575073,1.48306308
42.36027908,-71.05352672,1.780661796
42.34421921,-71.03902992,1.715567252
42.3381691,-71.049408,1.57224472
42.35289001,-71.04321021,0.611601203
42.35256195,-71.1369828,0.761079513
42.36378098,-71.10151359,1.54543671
42.3490715,-71.085403,1.611868009
42.34223938,-71.12150748,1.528910647
42.34354019,-71.07104271,0.693793605
42.36613846,-71.10316918,1.441350846
42.34679413,-71.0453182,0.761079513
42.35842896,-71.0597732,1.446585748
42.30387497,-71.07872405,0.923193593
42.36153412,-71.10220377,1.340518733
42.31745529,-71.07161085,1.24035423
42.34646606,-71.08232387,1.679669312
42.36345291,-71.10001424,1.859974995
42.35499954,-71.06555556,1.803859016
42.35789871,-71.07047077,1.652012454
42.31124115,-71.0670666,1.833833063
42.35789871,-71.07047077,1.652012454
42.28388214,-71.02278147,0.540551378
42.35499954,-71.06555556,1.29370209
42.35611725,-71.0552516,1.64452253
42.35993958,-71.05893888,1.115644764
42.35239792,-71.07233179,1.48306308
42.34848022,-71.08662775,1.689973133
42.3444519,-71.044884,0.761079513
42.34696579,-71.09831941,1.569969121
42.35611725,-71.0552516,0.674280153
42.35399628,-71.0640847,1.54543671
42.34096527,-71.11557762,0.621028433
42.35779953,-71.0617,1.751379881
42.36487961,-71.05729671,1.708737832
42.35966873,-71.0551746,1.596086919
42.35779953,-71.0617,1.751379881
42.35829926,-71.0661,1.48306308
42.34456253,-71.070886,1.720489734
42.2970314,-71.01376556,1.096549634
42.35143661,-71.11879642,1.591107209
42.36000061,-71.0534149,1.48306308
42.36710739,-71.05075021,1.650458612
42.36465836,-71.05741854,1.340518733
42.35466003,-71.135368,1.48306308
42.32351303,-71.08490741,1.808607371
42.35611725,-71.0552516,0.761079513
42.35611725,-71.0552516,0.608079234
42.32997513,-71.04393922,1.507064075
42.34215546,-71.15083333,1.74755843
42.3557663,-71.07121099,1.64452253
42.36000824,-71.056741,1.519569529
42.35086823,-71.06717378,1.457718051
42.3445816,-71.08889469,1.340518733
42.36174011,-71.0565376,1.48306308
42.34915161,-71.09415878,1.734816346
42.35172653,-71.0408624,1.519569529
42.31845474,-71.1584106,1.609725727
42.3374939,-71.08935765,1.54543671
42.35209656,-71.05516076,1.54543671
42.35435486,-71.06232551,0.545305906
42.35737228,-71.05832166,1.628866365
42.32807922,-71.05680734,1.132358194
42.35158539,-71.121686,1.526837307
42.35767746,-71.06882107,1.569969121
42.3508873,-71.06485389,1.746696951
42.36587524,-71.06187608,1.718323463
42.35842896,-71.0597732,1.681152
42.36650085,-71.0908,1.511953453
42.35611725,-71.0552516,0.693793605
42.36096954,-71.1275559,1.777003199
42.34609985,-71.0754,1.697272801
42.36338806,-71.09229942,0.603964027
42.34693909,-71.09677441,1.275883205
42.31844711,-71.1584134,1.689973133
42.36526489,-71.1036828,1.441350846
