longitude,latitude,created_at,tweet_id,text,score
-77.22628020,38.98247147,"2015-06-07 00:39:44",607346165919694848,"Congratulations to our bride and groom Nikki and Casey Hoy! @ Old Angler's Inn https://t.co/K1dS1T7nP0",1.7854
-73.86556652,40.84030914,"2015-06-07 00:39:45",607346168083968000,"Our oldest #frenchie DC is not feeling well. He is on meds and trying to get better. Luis showing him https://t.co/o910dEFnY1",0.7799
-80.08652003,36.13634491,"2015-06-07 00:39:45",607346169329643520,"Something slight with the principal of the year @ Heck yeah Patricia https://t.co/YyTXkrkDmK",0.8563
-73.83782666,40.73490524,"2015-06-07 00:39:47",607346176199933953,"Exploring #flushingmeadowspark with #MyZoeyK [#flushing #corona #nyc #queens] @ Flushing Meadows - https://t.co/h7cCkS9ZPf",0.6422
-77.01745149,38.89766312,"2015-06-07 00:39:47",607346176208306176,"SAVOR - a craft beer event in our nations capital. @ National Building Museum https://t.co/GMlRTCuVrE",1.5984
-83.16959142,40.01963425,"2015-06-07 00:39:47",607346176908787712,"I got 3 extra passes to the memorial tomorrow. If anyone wants to go hmu",0.9597
-79.55903177,43.09279633,"2015-06-07 00:39:47",607346179068837888,"Sports marketing is all done ",1.2961
-84.51201960,39.10311890,"2015-06-07 00:39:48",607346184181575680,"Can you recommend anyone for this #job? Human Resources Flight Officer - http://t.co/z7XLg0AesG #Cincinnati, OH #HR #Veterans #Hiring",1.0891
-71.16422661,42.71570969,"2015-06-07 00:39:49",607346186056552448,"Peaking garden",1.2804
-76.97671890,38.63004303,"2015-06-07 00:39:50",607346191484002305,"Keep twatchin me lol ",1.3346
-73.91861111,40.69416809,"2015-06-07 00:39:51",607346196731031552,"Lillian has survived the move to Bushwick! We are exhausted but all moved-in thanks to the help of my https://t.co/SjQ0DlQ20M",1.6876
-83.00617484,39.98804474,"2015-06-07 00:39:52",607346198102573056,"Mangos Cafe Ultimate LED LIGHT Hookah using the Kaloud Lotus with natural coals!!  #mangoscafe https://t.co/4rSpP0lOZv",1.2717
-73.58958571,40.74619293,"2015-06-07 00:39:52",607346199717388288,"Found me a sweet spot in #love to practice my #hotsummeryogi flow for theyogajoint challenge today https://t.co/MBmZnEPmA8",1.6710
